,0,,,,1
0,Komaram Bheem-Asifabad,,,,19.365
1,Medak,,,,18.045992
2,Peddapalli,,,,18.61357
3,Jagtial,,,,18.794905
4,Sangareddy,,,,17.611629
5,Vikarabad,,,,17.33643
6,Kamareddy,,,,18.3205
7,Nirmal,,,,19.096413
8,Nalgonda,,,,17.05662
9,Yadadri-Bhongir,,,,17.5078
10,Mahabubabad,,,,17.6026
11,Rangareddy,,,,17.3891
12,Adilabad,,,,19.6641
13,Mancherial,,,,18.8714
14,Nagarkurnool,,,,16.4939
15,Wanaparthy,,,,16.3623
16,Warangal Urban,,,,17.9744
17,Suryapet,,,,17.1314
18,Warangal Rural,,,,17.9744
19,Siddipet,,,,18.1018
20,Jayashankar-Bhupalpally,,,,18.4293
21,Bhadradri-Kothagudem,,,,17.5543
22,Medchal-Malkajgiri,,,,17.4139
23,Jogulamba-Gadwal,,,,16.23
24,Karimnagar,,,,18.4386
25,Khammam,,,,17.2473
26,Nizamabad,,,,18.6725
27,Hyderabad,,,,17.385
28,Mahabubnagar,,,,16.3841
29,Jangaon,,,,17.7227
30,Rajanna-Siricilla,,,,18.3889
